com.vividsolutions.jump.coordsys.impl.TransverseMercator,com.vividsolutions.jump.coordsys.impl
com.vividsolutions.jump.coordsys.Reprojector,com.vividsolutions.jump.coordsys
com.vividsolutions.jump.datastore.AdhocQuery,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesSQLBuilder,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.datastore.SpatialReferenceSystemID,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.DataStoreException,com.vividsolutions.jump.datastore
com.vividsolutions.jump.parameter.ParameterList,com.vividsolutions.jump.parameter
com.vividsolutions.jump.parameter.ParameterListSchema,com.vividsolutions.jump.parameter
com.vividsolutions.jump.datastore.DataStoreLayer,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.GeometryColumn,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.PrimaryKeyColumn,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.FilterQuery,com.vividsolutions.jump.datastore
com.vividsolutions.jump.datastore.h2.H2DataStoreDriver,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.h2.H2DSConnection,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.h2.H2DataStoreExtension,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.h2.H2ServerDataStoreDriver,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesDSConnection,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.feature.FeatureSchema,com.vividsolutions.jump.feature
com.vividsolutions.jump.datastore.h2.H2FeatureInputStream,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.h2.H2SQLBuilder,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.h2.H2DSMetadata,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesDSMetadata,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesFeatureInputStream,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.datastore.postgis.PostgisResultSetConverter,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesResultSetConverter,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.workbench.JUMPWorkbench,com.vividsolutions.jump.workbench
com.vividsolutions.jump.datastore.h2.H2ResultSetConverter,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.postgis.PostgisValueConverterFactory,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.h2.H2ValueConverterFactory,com.vividsolutions.jump.datastore.h2
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory,com.vividsolutions.jump.datastore.jdbc
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesValueConverterFactory,com.vividsolutions.jump.datastore.spatialdatabases
com.vividsolutions.jump.datastore.jdbc.DelegatingDriver,com.vividsolutions.jump.datastore.jdbc
com.vividsolutions.jump.datastore.jdbc.JDBCUtil,com.vividsolutions.jump.datastore.jdbc
com.vividsolutions.jump.feature.AttributeType,com.vividsolutions.jump.feature
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.BooleanConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.DateConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.DoubleConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.IntegerConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.LongConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.ObjectConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.datastore.jdbc.ValueConverterFactory.StringConverter,com.vividsolutions.jump.datastore.jdbc,***
com.vividsolutions.jump.util.FlexibleDateParser,com.vividsolutions.jump.util
com.vividsolutions.jump.datastore.mariadb.GeometryColumnsLayout,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbDataStoreDriver,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbDSConnection,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbDataStoreExtension,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MysqlMariadbDataStoreDriver,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbFeatureInputStream,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbSQLBuilder,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbDSMetadata,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbResultSetConverter,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbValueConverterFactory,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MariadbValueConverterFactory.MySQLWKBGeometryValueConverter,com.vividsolutions.jump.datastore.mariadb,***
com.vividsolutions.jump.datastore.mariadb.MysqlDataStoreDriver,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.mariadb.MysqlDataStoreExtension,com.vividsolutions.jump.datastore.mariadb
com.vividsolutions.jump.datastore.oracle.OracleDataStoreDriver,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleDSConnection,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleDataStoreExtension,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleFeatureInputStream,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleSQLBuilder,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleDSMetadata,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleResultSetConverter,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleValueConverterFactory,com.vividsolutions.jump.datastore.oracle
com.vividsolutions.jump.datastore.oracle.OracleValueConverterFactory.OracleStructGeometryValueConverter,com.vividsolutions.jump.datastore.oracle,***
com.vividsolutions.jump.workbench.plugin.PlugInManager,com.vividsolutions.jump.workbench.plugin
com.vividsolutions.jump.datastore.postgis.PostgisDataStoreDriver,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.postgis.PostgisDSConnection,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.workbench.ui.ErrorDialog,com.vividsolutions.jump.workbench.ui
com.vividsolutions.jump.workbench.ui.WorkbenchFrame,com.vividsolutions.jump.workbench.ui
com.vividsolutions.jump.datastore.postgis.PostgisFeatureInputStream,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.postgis.PostgisSQLBuilder,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.postgis.PostgisDSMetadata,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.datastore.postgis.PostgisDSExtension,com.vividsolutions.jump.datastore.postgis
com.vividsolutions.jump.JUMPException,com.vividsolutions.jump
com.vividsolutions.jump.workbench.Logger,com.vividsolutions.jump.workbench
com.vividsolutions.jump.workbench.plugin.PlugInContext,com.vividsolutions.jump.workbench.plugin
com.vividsolutions.jump.workbench.registry.Registry,com.vividsolutions.jump.workbench.registry
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesDSMetadata.ColumnNameBlock,com.vividsolutions.jump.datastore.spatialdatabases,***
com.vividsolutions.jump.feature.BasicFeature,com.vividsolutions.jump.feature
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesValueConverterFactory.WKBGeometryValueConverter,com.vividsolutions.jump.datastore.spatialdatabases,***
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesValueConverterFactory.WKBObjectValueConverter,com.vividsolutions.jump.datastore.spatialdatabases,***
com.vividsolutions.jump.datastore.spatialdatabases.SpatialDatabasesValueConverterFactory.WKTGeometryValueConverter,com.vividsolutions.jump.datastore.spatialdatabases,***
com.vividsolutions.jump.datastore.spatialite.GeometricColumnType,com.vividsolutions.jump.datastore.spatialite
com.vividsolutions.jump.datastore.spatialite.GeometryColumnsLayout,com.vividsolutions.jump.datastore.spatialite
